Gene ID,RE:SN12C,RE:A498,RE:CAKI-1,RE:ACHN,RE:UO-31,RE:786-0,RE:RXF-393,RE:TK-10,ME:M14,ME:UACC-257,ME:SK-MEL-28,ME:UACC-62,ME:LOXIMVI,ME:SK-MEL-2,ME:MALME-3M,ME:SK-MEL-5,LC:NCI-H522,LC:NCI-H23,PR:DU-145,CO:HT29,CO:SW-620,CO:HCT-15,CO:COLO205,CO:KM12,CO:HCC-2998,BR:T-47D,BR:MCF7,LC:NCI-H322M,CO:HCT-116,LE:SR,LE:RPMI-8226,LE:K-562,LE:HL-60,LE:MOLT-4,LE:CCRF-CEM,OV:IGROV1,OV:OVCAR-4,OV:OVCAR-3,PR:PC-3,OV:OVCAR-5,OV:SK-OV-3,BR:MDA-N,BR:MDA-MB-435,BR:MCF7/ADF-RES,OV:OVCAR-8,LC:NCI-H226,LC:HOP-62,CNS:U251,CNS:SNB-19,BR:BT-549,CNS:SF-268,CNS:SF-539,BR:HS578T,CNS:SNB-75,CNS:SF-295,LC:EKVX,LC:A549/ATCC,LC:NCI-H460,BR:MDA-MB-231/ATCC,LC:HOP-92
GENE1012X,-2.903,0.09234,-0.1009,-1.537,-0.01937,-0.3109,-0.8409,0.01906,0.2206,-2.091,-0.2274,1.214,0.1506,-0.6384,-0.1772,0.03875,0.1215,0.06906,-0.05,-0.3109,0.794,-1.871,2.771,-0.2272,0.4197,1.579,-0.03766,0.5391,-0.5203,-1.366,0.5123,1.198,-0.2697,-0.1606,-0.7684,-0.2262,-1.345,0.1791,0.02938,0.04938,-1.196,0.5503,-0.7109,0.02313,-0.1188,0.3791,,1.469,0.4567,-0.3491,0.6591,0.5682,0.7416,,,0.6491,-0.3491,-2.769,,2.549
GENE1013X,-0.861,0.2345,0.8413,-1.225,-0.3772,-0.06875,0.3112,-0.2087,1.283,-1.479,0.2148,0.7063,1.013,1.124,-0.635,-0.3391,-2.136,-1.479,1.292,-0.2787,1.686,-0.2987,1.233,-0.125,-0.8881,0.7915,-2.155,-0.3488,-0.2381,1.846,-0.3755,0.3206,0.8625,2.652,1.414,-0.984,-0.7432,0.09125,-0.1284,-0.05844,-0.7537,0.4025,-0.5187,0.9953,0.6434,0.7613,0.7234,0.6113,0.05891,0.8331,-0.1287,-1.1,0.2438,0.8762,-0.6885,-0.3288,-2.217,-1.747,1.079,0.1212
GENE1014X,-1.533,1.422,0.4688,0.0025,0.9603,0.3288,1.039,0.5787,0.3503,-0.4312,-0.1677,0.7938,-0.6997,-0.3187,1.272,-0.001563,-0.008809,-0.7412,0.5297,-0.4312,-0.5463,-0.08125,-1.229,-0.6175,-0.4306,-0.591,-1.108,-0.6613,0.3694,-1.506,0.182,-0.5519,-0.68,-0.2809,-0.1088,-0.4665,-0.7757,0.1888,-0.4009,-0.01094,0.8538,0.4,0.2088,-0.4872,0.4909,2.159,0.2209,1.179,-0.1936,1.251,0.2888,1.088,2.151,1.244,0.969,1.479,0.1005,-0.6097,-0.1831,0.1787
GENE1015X,-0.01004,-0.01453,-0.5078,0.1359,-0.1663,1.012,0.2422,0.8522,1.054,-0.8478,1.496,1.337,-0.03625,0.4847,1.276,0.3819,-3.465,-1.758,0.05312,-3.648,-1.163,-3.358,-2.356,-2.704,-3.957,-0.7176,-2.105,-3.478,0.06281,0.8172,-0.9645,-1.668,-3.897,-4.788,-1.855,-0.193,-0.0123,-2.428,-0.0075,-0.9075,0.007188,1.353,1.022,-0.1938,0.6243,0.5722,0.9944,0.2822,0.8498,1.064,0.9722,1.131,2.115,1.177,0.9924,0.09219,-0.326,-0.6563,0.7303,0.2422
GENE1016X,0.1109,-0.8236,0.4031,-0.003125,-0.1153,0.4531,0.6631,1.313,0.9746,0.9731,1.357,1.838,-1.135,-0.4144,0.3369,0.6828,-0.1244,0.1131,-0.1859,-0.3969,-0.9619,0.06313,-0.2549,0.1669,-0.4763,-0.9866,-1.794,-0.3669,-0.2963,0.7581,-1.444,-4.148,-0.5756,-0.03656,-0.4744,-0.6021,0.7286,0.07313,0.1134,-0.5666,0.8581,0.5144,0.8631,-0.9328,-0.07473,0.02312,0.04531,0.003125,0.1208,-0.655,0.5831,1.312,0.6556,0.8581,-0.7266,-0.2069,-0.2451,-0.1553,0.4513,-0.1969
GENE1017X,0.689,1.275,-0.3187,-1.765,-1.557,-0.8587,-0.1588,-2.819,0.7828,0.4113,0.5748,0.4863,-1.867,0.6938,1.275,1.421,-0.2863,0.8513,-0.09781,,-1.474,0.9013,0.4532,-2.045,-0.4481,0.6315,0.1645,-1.869,-1.328,1.146,-1.505,0.000625,0.2725,1.122,-1.766,0.106,0.3968,-0.7087,-0.3084,-2.768,-1.614,1.023,0.9913,-2.095,-1.587,-1.459,-0.6466,1.451,0.4089,-2.167,0.2013,-2.81,0.5137,-1.164,-0.8085,0.8212,-1.157,1.413,1.959,0.8912
GENE1018X,-2.435,-0.08938,-0.4227,-0.4489,-0.001094,-0.02266,-0.2427,-1.243,0.8689,-0.4927,0.3109,1.442,-1.281,-0.5902,0.3011,-0.08297,0.3198,-0.2527,-0.3317,-0.8627,1.092,0.3773,3.049,0.4911,0.558,1.758,0.9706,0.8073,-0.01203,-0.5877,-0.3994,-1.883,-0.9314,-0.1223,,-0.3379,-0.7671,0.06734,-0.6423,0.4277,0.04234,0.4786,0.5673,-0.3686,0.02949,0.2773,0.1995,1.357,1.035,-0.5008,0.2573,0.5664,-0.0001563,1.112,-0.7824,0.6273,0.1391,-1.901,0.1155,-0.4027
GENE1019X,1.576,1.142,1.128,1.172,2.71,1.888,-0.1316,-1.152,-0.5301,-0.9316,-1.298,-1.147,-0.5001,-1.189,-0.6279,-1.422,4.451,2.848,-0.3907,-1.822,-1.257,-0.8816,-0.8796,-0.5279,-0.631,-0.3614,-1.298,-0.5516,-0.241,-0.6966,0.1316,-2.082,-1.99,-0.2513,-1.309,0.8731,1.104,0.8184,2.479,-0.8813,1.243,-1.28,-1.412,1.532,1.131,1.568,1.821,2.708,3.686,2.67,2.368,3.447,2.711,3.153,2.789,0.2084,1.7,1.77,-1.404,0.2784
GENE101X,,,-0.1409,-0.007148,-1.909,-0.3709,0.2091,-0.9909,-3.239,0.1391,-3.187,-0.1659,-0.09934,-2.338,-1.817,-1.451,0.8615,-0.6609,0.07004,1.229,0.124,0.9291,0.001094,-0.4971,0.5697,0.5693,0.5624,,0.5297,-1.266,0.5724,0.2085,-0.6596,0.4894,0.5216,0.2039,-0.4054,-0.0008984,-0.1306,1.079,0.4841,-1.51,,0.5632,-0.5288,-0.3109,0.1113,,0.2168,-2.189,,0.8882,,-2.196,,,,0.5607,-0.03277,2.429
GENE1020X,0.2937,0.4592,0.6259,-1.11,,0.0559,0.0759,-0.3041,0.9674,-1.164,0.7194,0.3709,-0.6025,0.6684,-0.4504,1.246,-0.7417,0.1559,-0.8832,-0.1941,-0.2492,-0.5841,-0.4421,1.45,-0.5235,-1.194,-1.411,-0.7741,-0.5935,0.3609,0.07918,0.2853,0.5071,0.1462,0.0184,-0.09934,-0.01859,-0.2241,0.6962,-1.244,-1.319,1.127,1.196,,-0.962,-0.8341,-0.3619,1.296,0.6736,-0.3622,0.3959,1.045,-0.6116,0.09084,-0.8539,-0.4241,-0.0323,0.6075,0.204,0.1859
GENE1021X,0.4961,0.2016,-1.572,0.702,-0.03016,-0.9017,-0.8317,0.3483,-1.21,0.1883,-1.018,1.013,0.7598,-0.03922,-1.218,0.318,1.951,1.068,0.5592,2.168,-1.557,2.378,0.6903,-0.838,1.859,-0.7315,0.5616,-0.9117,0.5089,0.6833,0.06156,1.708,-1.77,2.209,1.511,-0.09695,-1.726,-1.702,-1.701,0.5786,-1.627,-0.8005,-1.722,2.062,1.52,-0.2617,-0.6095,-1.002,-1.344,-2.05,-0.4317,-1.603,0.5808,0.1932,-1.401,1.098,0.03008,-0.3902,-1.494,0.9983
GENE1022X,1.337,-1.067,-0.1806,-0.4469,-0.4991,-0.02062,-0.05063,-0.8306,0.5409,-0.1006,-0.1071,0.5544,-0.1391,0.3019,1.113,0.1391,1.052,0.4094,0.1303,-0.3106,0.2243,1.169,-0.5886,-0.1769,0.5,0.5196,0.1327,-0.2006,-0.76,0.4644,0.4727,0.7587,0.4006,1.42,0.6519,-0.1459,0.1649,-1.111,-0.6103,-0.5203,-0.7256,0.02063,0.06938,-0.3866,-0.7685,1.599,-0.06844,-0.3806,0.09703,0.2512,0.3794,0.04848,2.482,-0.5957,-1,-0.4006,-0.6188,-0.1791,2.128,-0.07063
GENE1023X,2.158,-0.6361,,-1.266,,-0.8594,0.1206,-0.1594,,-1.709,-1.706,-0.4144,0.4822,-0.3069,0.7944,-0.1397,,-0.08937,0.8416,-0.009375,0.2356,0.8606,-1.257,-0.3556,0.1612,0.2709,2.194,-0.9194,-0.8688,-0.08438,-2.356,0.01,-0.2681,-0.02906,,3.445,0.4861,1.451,0.06094,0.2609,,,,1.095,2.083,1.281,,,0.2683,-0.5575,,-1.12,,2.806,-0.3091,,,0.3222,0.9888,-0.5694
GENE1024X,-0.8657,-1.18,-1.293,1.38,-0.02187,-3.543,-0.4634,0.7566,-0.4319,-0.7734,-0.5199,0.02156,-0.4919,0.4891,0.4003,0.6262,0.419,-0.3234,1.647,0.3866,0.3715,0.3766,0.3686,1.11,-0.03281,-0.4532,-0.2502,0.9566,1.397,0.4416,-1.47,-0.3341,-1.202,0.6769,-0.4309,0.6713,0.03207,0.3766,-0.2831,1.007,0.1916,-0.1222,0.3066,2.001,1.379,-0.4334,0.2388,-0.5534,-0.3758,0.05844,-0.2134,-0.4643,-0.9809,-0.3885,-1.303,-0.2034,-0.3516,0.5281,1.075,0.4966
GENE1025X,-1.087,-0.7311,-0.7244,-0.9106,,-0.2144,0.05562,-0.2644,0.7371,0.08563,0.9491,1.071,0.1872,0.5381,0.7094,1.125,-0.5319,-0.2044,-0.5134,-1.154,-0.08943,-0.5344,-0.8124,1.009,-0.00375,-0.2841,-0.8111,-0.07438,0.3762,1.061,-0.4911,0.415,0.8669,0.4659,1.218,-0.1396,-0.3689,0.3156,0.2259,-0.2141,-0.4494,1.597,1.906,-0.0003125,0.007773,-0.4144,-0.01219,0.9756,0.9333,0.3375,0.4656,-0.06527,0.1981,0.8006,-0.6441,0.6156,-0.3226,-0.9628,0.1838,-0.4444
GENE1026X,-0.08723,0.1883,0.015,0.4088,,0.265,0.095,0.305,0.6265,-0.315,-0.2215,0,-1.633,0.1475,0.5387,-1.515,-1.963,-1.295,-0.1141,0.325,0.2899,-0.205,-0.163,-1.631,0.1956,-0.3448,0.3083,-1.155,0.2056,0.48,3.498,-0.9656,-0.02375,0.1953,-0.4925,-0.3502,-0.04949,-1.145,-0.1747,-0.09469,0.7,0.1462,0.215,0.2791,0.5471,0.585,-0.02281,-0.585,-0.8073,-1.893,-1.135,0.9041,0.4475,0.2899,0.07523,-1.175,-1.183,-0.5134,1.053,0.185
GENE1027X,-3.015,0.7708,,-0.4487,1.419,-0.6325,-0.3025,0.9075,0.829,-0.3225,-0.008984,-0.6775,0.2191,-0.83,-1.249,-0.1528,0.5899,0.4275,-0.1416,2.308,0.4824,,-0.7305,,-0.04187,1.058,-4.529,-1.443,-0.3919,0.2925,-0.8292,0.1969,0.3588,-0.9822,4.66E-12,-0.07773,-0.006992,0.4075,-0.02219,0.4678,-0.1075,-0.2912,-0.5825,0.2916,1.03,1.348,0.4397,1.918,0.3352,-1.211,0.8775,0.9966,0.71,0.6224,3.288,-1.803,-0.0107,-2.041,0.9256,1.497
GENE1028X,-0.4385,0.417,0.7637,-1.012,-0.9847,0.04375,1.154,-0.1063,0.2353,-0.7862,0.4173,1.589,0.3053,0.9962,-0.4025,0.8434,0.05619,0.1538,-0.6753,0.1938,-0.07131,-0.4062,-0.2543,1.117,-0.9456,-0.726,-1.243,-0.8263,-0.4156,0.5088,0.107,-0.09688,-0.135,0.6141,-0.04375,-0.1915,-1.581,-0.3062,-3.226,-0.7359,-0.7712,0.775,0.9338,-0.7222,-0.1141,0.1837,0.2359,1.224,0.7114,0.2656,0.6838,1.703,-0.1238,0.4487,-0.386,-0.5663,-0.1545,0.2753,0.2519,0.4337
GENE1029X,0.8971,0.8527,1.619,-0.3669,2.011,1.059,1.829,2.019,-0.4891,-0.9006,0.5929,0.7044,0.02094,3.012,-0.4469,,-0.6882,-0.6706,-0.6397,-1.061,-0.5257,-0.5806,0.3614,-0.2669,-0.48,-0.1004,-0.8973,-0.4906,-0.14,-0.5656,-0.1073,-0.5113,0.1606,0.8597,-2.948,0.8741,0.1849,-0.02062,0.2697,0.02969,-1.056,1.301,0.5094,,-0.5985,2.709,-0.6884,0.1494,1.257,-1.899,-1.081,0.5985,-1.198,-1.546,-2.09,0.1394,0.3512,0.1409,5.588,0.7794
GENE102X,,-0.3167,,0.1437,-3.068,0,0.28,0.56,0.2615,-0.21,,-0.355,0.2116,,-2.176,-4.09,0.1424,-0.11,,,,2.96,1.912,,,-0.1498,,3.1,,,2.513,-0.3606,-0.6588,-1.93,0.4225,-0.1652,-0.6045,1.02,0.4203,-0.2497,0.325,-0.5288,,,-1.178,-1.73,-0.2978,3.99,-1.082,,,0.5291,5.502,,,5.14,,2.102,,
GENE1030X,-1.612,-0.5467,0.11,-0.4962,-0.6784,-0.45,-1.12,0.1,-0.2985,0.7,0.4735,0.845,0.1116,-0.1375,0.1538,-0.5203,,0.28,0.4009,-1.64,-1.165,-0.65,-0.218,-0.3762,0.01063,0.2902,-0.1367,-0.17,-0.2994,1.075,0.1733,-1.071,-0.6487,-0.2797,0.3625,-0.4652,0.6255,1.51,0.6503,-1.52,0.615,0.3313,-0.34,-0.02594,1.222,2.05,1.242,0.87,0.4077,-6.448,0.47,-0.8109,3.103,1.145,-4.5,-1.85,1.052,1.442,-1.082,0
GENE1031X,-0.8538,-0.3383,-0.2616,-1.888,-0.6,-2.362,-1.902,-1.492,2.94,1.558,1.632,1.243,-2.23,-0.6391,1.632,2.008,-1.789,1.188,-0.1606,-2.442,1.163,0.5384,0.7604,-0.5178,0.1091,1.299,1.212,-0.4816,0.03906,-1.437,-1.138,-1.782,-0.4903,0.7588,-0.8391,-0.0468,-0.3761,-0.5216,0.04875,-0.06125,0.4834,0.4697,0.3484,0.8525,0.1306,0.5584,0.7206,0.2884,-0.9139,0.6803,0.6384,0.8875,-0.2091,-0.8666,-0.01133,-0.5916,0.0002344,1.6,0.2766,
GENE1032X,0.3292,0.2847,-0.5086,-0.2548,-0.297,-0.5386,-0.3386,-0.4786,0.8029,0.05141,0.4149,0.8464,0.663,0.3539,1.185,0.5811,-0.3362,-0.05859,-0.2077,0.1014,0.6863,0.1014,1.173,0.3252,-0.478,0.3516,0.2447,-0.2086,0.652,-0.5536,1.395,-2.929,-3.637,-0.2783,-0.6961,0.1162,-2.623,-0.1986,0.7817,0.6017,-0.1636,0.4727,0.3414,-0.7345,-1.556,-1.329,-0.5664,-0.5086,-0.6609,0.1333,-0.3786,-0.04949,-1.586,-0.003652,0.3616,0.1914,0.003203,-0.157,0.7695,0.4814
GENE1033X,-6.752,0.1633,2.13,-0.5063,-1.078,-0.17,-1.26,-1.27,0.9515,0.61,1.434,,1.762,-2.428,2.394,,3.042,-2.63,-0.4691,2.45,0.05494,-0.22,1.312,0.6837,1.261,-0.8098,0.2033,1.89,-0.2794,-2.875,,-2.141,,-3.83,-2.358,-0.3452,-0.1745,-0.25,-0.1597,0.4903,0.275,-1.169,0.49,0.7741,0.9921,1.75,-1.378,0,-1.782,0.1719,0.54,-0.4309,-1.168,-0.1251,3.15,0.99,0.7418,,-1.602,0.34
GENE1034X,-2.192,2.643,3.25,2.074,2.082,2.46,1.77,2.26,-6.968,-1.92,-2.476,-1.005,-0.2384,-2.138,-1.616,-2.52,-2.698,-1.35,2.031,4.04,1.895,2.85,5.092,3.844,3.961,2.18,3.103,3.62,2.541,0.525,2.283,-0.8006,-0.7788,-1.13,-2.598,2.625,2.936,2.96,1.38,2.59,1.755,-2.719,,-0.6359,-2.378,-0.62,-1.168,-1.22,-2.002,-1.008,0,-0.2409,-0.7775,-2.145,-1.44,3.83,3.652,,,-2.14
GENE1035X,-0.01848,-2.743,0.8337,1.837,2.295,1.094,1.884,0.8437,-2.135,1.834,3.877,2.069,-2.265,3.406,2.837,1.413,-2.104,-1.036,-1.755,-4.126,-2.591,-3.116,-4.564,-3.483,-2.096,-2.176,-2.573,-3.756,-0.5556,3.059,0.167,0.7331,-3.005,-2.986,-0.6038,-3.061,0.8393,-0.7162,-2.296,1.144,-4.681,1.085,2.424,2.108,1.916,-0.7063,1.216,2.204,-0.2286,-1.474,2.614,,1.356,1.459,0.484,-0.9863,-1.944,1.555,0.001875,3.224
GENE1036X,-0.6716,-0.04609,0.1306,-0.03562,0.7122,0.3606,0.1206,-0.2294,-1.688,-5.399,-0.6859,0.03563,-0.1878,-0.5169,-1.506,-0.4997,-0.6369,0.5806,0.1316,0.2506,-0.2244,0.2106,0.05262,0.1844,-1.109,-0.5391,0.8339,0.7106,-0.04875,-1.364,,,1.042,0.2209,0.1731,-0.7446,-1.184,-0.5094,-0.9291,-0.6991,0.04563,-0.8781,-0.9094,0.1547,0.1928,-0.9694,0.7528,0.8706,0.1083,-0.4975,0.2906,1.27,0.5931,-0.1744,1.621,-0.06938,0.3824,0.5322,-0.7612,0.3106
GENE1037X,-1.513,1.303,0.3897,0.3134,0.5413,0.8397,0.4297,-0.02031,-0.8388,-1.34,-0.1368,0.1447,-0.4888,-0.3278,-0.9466,-0.2306,-1.098,0.2397,0.2506,-0.2703,0.1346,0.6397,-0.1683,0.2834,0.8303,-0.6801,0.563,0.9497,0.02031,-1.365,-0.207,-0.9909,-1.879,-0.19,-0.5178,-0.9355,-0.2848,-0.4203,0.15,-0.5,0.1247,-0.9191,-1.04,0.2138,0.2318,-1.07,0.5319,1.18,0.3673,-0.9784,-1.13,0.5788,0.7322,0.1946,1.41,0.1297,1.071,0.7513,-1.432,-0.3603
